"x1","x2","y"
2.81079979052362,6.32825416336045,1
2.37688026909248,5.05979569328435,1
3.22815594652241,4.72028023367215,1
2.42593294904212,5.27833989987094,1
3.09425449127634,5.21280116656217,1
3.42228788669769,5.32130420184138,1
1.82186196615973,4.55107407048853,1
2.78823555804692,6.19611867117212,1
2.57155319743457,3.29958619443941,1
2.57863182131161,5.58005539732075,1
2.93370616194579,4.71450353432656,1
2.76691514446974,6.59222225724655,1
3.12821616328976,5.05939544822444,1
3.39058032570801,5.54271587780631,1
2.84640081798177,3.47444692825425,1
2.86544124584693,4.44165028169904,1
3.29758900702364,6.85917195538669,1
2.8611097020516,5.27031952622639,1
3.13578561010471,4.30821401603969,1
2.47786954851665,3.59070288366478,1
2.91977855116092,6.88164137234086,1
3.31865634223207,5.20161667354384,1
2.68724466112462,4.84179449508718,1
3.39700002597088,4.82655050398169,1
3.30992793551923,3.59989758787483,1
3.00471289759102,4.59999541877733,1
4.09413460986672,5.49888484110302,1
2.4360010757485,4.27605197993523,1
1.90849617517119,6.34682879718351,1
3.10135636822662,2.99016520632774,1
3.2000178583225,5.99338665695728,1
2.20459985386606,4.00755705077387,1
2.08842679677296,5.03234944789257,1
2.28319260003238,3.80736976224813,1
2.26686946281955,5.7393031710192,1
2.98130275038527,4.47450382459332,1
2.79139564061475,6.75249527003852,1
2.76246259972681,4.95120586488451,1
3.06130620023767,5.72664570891525,1
2.52617483901923,5.15120496209461,1
3.42503717678918,5.96842147478284,1
3.25024608452377,3.98494697249734,1
3.28660586795251,4.49606555578696,1
3.5052667897832,4.3404455762646,1
3.13831043012262,5.96287816159474,1
2.8079449788501,5.02395856496882,1
3.08298873928608,4.24896370744198,1
2.8309446000759,6.36386605414057,1
2.78613864296404,5.61425335013108,1
3.32962562323939,6.29320919172361,1
2.43346452207732,4.73838407493013,1
3.24773112875846,4.06057778913112,1
2.33266853677544,4.27219052211329,1
3.0992458753894,3.78982514227875,1
2.88244577522959,4.83199956779511,1
2.74688950870722,5.37216968359107,1
