index,userID,itemID,rating
50000,325,66764,4
50001,325,66852,8
50002,325,66881,1
50003,325,66960,2
50004,325,66970,6
50005,325,67035,1
50006,325,67088,7
50007,325,67222,10
50008,325,67224,8
50009,325,67265,10
50010,325,67346,5
50011,325,67457,3
50012,325,67534,1
50013,325,67648,10
50014,325,67693,4
50015,325,67716,9
50016,325,67973,5
50017,325,68032,1
50018,325,68140,3
50019,325,68298,1
50020,325,68324,1
50021,325,68349,1
50022,325,68532,3
50023,325,68695,1
50024,325,68728,3
50025,325,68769,4
50026,325,68825,3
50027,325,68830,4
50028,325,68887,1
50029,325,68917,3
50030,325,68964,1
50031,325,69087,4
50032,325,69675,10
50033,325,70112,6
50034,325,70155,6
50035,325,70301,1
50036,325,70314,8
50037,325,70420,10
50038,325,70519,4
50039,325,70751,2
50040,325,71229,1
50041,325,71292,5
50042,325,71380,7
50043,325,71452,2
50044,325,71570,10
50045,325,71767,2
50046,325,71777,6
50047,325,71873,5
50048,325,71903,10
50049,325,72051,5
50050,325,72273,2
50051,325,72354,3
50052,325,72452,6
50053,325,72456,4
50054,325,72536,5
50055,325,72578,4
50056,325,72627,2
50057,325,72633,2
50058,325,72813,1
50059,325,72823,5
50060,325,72978,1
50061,325,72986,8
50062,325,73098,2
50063,325,73215,4
50064,325,73272,4
50065,325,73286,10
50066,325,73343,1
50067,325,73424,4
50068,325,73438,10
50069,325,73492,1
50070,325,73516,4
50071,325,73603,4
50072,325,73634,4
50073,325,73638,10
50074,325,73780,10
50075,325,73810,1
50076,325,73839,10
50077,325,73868,10
50078,325,74128,1
50079,325,74219,1
50080,325,74269,3
50081,325,74300,1
50082,325,74338,1
50083,325,74354,1
50084,325,74496,5
50085,325,74503,8
50086,325,74563,2
50087,325,74615,1
50088,325,74647,3
50089,325,74675,4
50090,325,74731,3
50091,325,74746,7
50092,325,74789,2
50093,325,74790,3
50094,325,74925,4
50095,325,74947,1
50096,325,74955,1
50097,325,75015,1
50098,325,75018,10
50099,325,75052,7
50100,325,75074,1
50101,325,75133,2
50102,325,75233,4
50103,325,75248,1
50104,325,75252,1
50105,325,75371,6
50106,325,75446,3
50107,325,75482,4
50108,325,75535,10
50109,325,75565,2
50110,325,75719,2
50111,325,75801,5
50112,325,75804,2
50113,325,75813,1
50114,325,75966,1
50115,325,76108,2
50116,325,76306,5
50117,325,76363,2
50118,325,76374,2
50119,325,76395,1
50120,325,76407,7
50121,325,76582,2
50122,325,76629,1
50123,325,76756,7
50124,325,76927,4
50125,325,77124,1
50126,325,77463,1
50127,325,77496,1
50128,325,77506,1
50129,325,77664,1
50130,325,77690,1
50131,325,77842,3
50132,325,77851,2
50133,325,77928,5
50134,325,78009,5
50135,325,78043,9
50136,325,78052,1
50137,325,78104,7
50138,325,78109,7
50139,325,78120,3
50140,325,78188,10
50141,325,78227,2
50142,325,78235,1
50143,325,78271,2
50144,325,78279,6
50145,325,78301,2
50146,325,78327,6
50147,325,78567,1
50148,325,78570,1
50149,325,78663,10
50150,325,78690,4
50151,325,78714,5
50152,325,78762,1
50153,325,78765,1
50154,325,79052,7
50155,325,79219,3
50156,325,79228,1
50157,325,79242,10
50158,325,79299,1
50159,325,79381,1
50160,325,79582,1
50161,325,79851,1
50162,325,80043,1
50163,325,80155,10
50164,325,80179,1
50165,325,80190,3
50166,325,80337,1
50167,325,80470,1
50168,325,80888,6
50169,325,80921,1
50170,325,81004,1
50171,325,81115,1
50172,325,81121,10
50173,325,81209,1
50174,325,81287,1
50175,325,81362,1
50176,325,81372,1
50177,325,81385,5
50178,325,81396,2
50179,325,81468,5
50180,325,81552,1
50181,325,81927,1
50182,325,81992,1
50183,325,82144,1
50184,325,82230,2
50185,325,82366,1
50186,325,82414,1
50187,325,82521,5
50188,325,82531,1
50189,325,82600,10
50190,325,82669,4
50191,325,82747,1
50192,325,83049,2
50193,325,83132,1
50194,325,83160,9
50195,325,83238,1
50196,325,83264,2
50197,325,83272,9
50198,325,83295,1
50199,325,83429,9
50200,325,83466,1
50201,325,83563,6
50202,325,83712,7
50203,325,83791,4
50204,325,83831,1
50205,325,83952,2
50206,325,84412,1
50207,325,84707,10
50208,325,84748,1
50209,325,84938,1
50210,325,84970,1
50211,325,85000,1
50212,325,85042,1
50213,325,85054,3
50214,325,85249,1
50215,325,85327,1
50216,325,85362,1
50217,325,85381,4
50218,325,85437,4
50219,325,85511,5
50220,325,85549,2
50221,325,85646,4
50222,325,85693,1
50223,325,85757,1
50224,325,85758,3
50225,325,85828,1
50226,325,85918,10
50227,325,86092,2
50228,325,86281,1
50229,325,86329,10
50230,325,86363,6
50231,325,86468,1
50232,325,86627,1
50233,325,86665,7
50234,325,86756,5
50235,325,86782,7
50236,325,86797,6
50237,325,86996,1
50238,325,87053,1
50239,325,87088,1
50240,325,87130,1
50241,325,87166,1
50242,325,87319,2
50243,325,87403,5
50244,325,87485,6
50245,325,87515,4
50246,325,87541,7
50247,325,87564,1
50248,325,87618,1
50249,325,87692,1
50250,325,87965,6
50251,325,88098,6
50252,325,88116,3
50253,325,88119,3
50254,325,88185,1
50255,325,88283,10
50256,325,88464,10
50257,325,88469,2
50258,325,88477,10
50259,325,88486,10
50260,325,88499,2
50261,325,88951,2
50262,325,89123,5
50263,325,89343,1
50264,325,89382,5
50265,325,89469,6
50266,325,89645,1
50267,325,89709,1
50268,325,89896,1
50269,325,90142,7
50270,325,90164,5
50271,325,90309,1
50272,325,90404,9
50273,325,90506,7
50274,325,90663,1
50275,325,90910,1
50276,325,91186,1
50277,325,91305,10
50278,325,91328,1
50279,325,91355,2
50280,325,91393,1
50281,325,91634,1
50282,325,91651,1
50283,325,91682,10
50284,325,91798,1
50285,325,91813,1
50286,325,92025,2
50287,325,92032,2
50288,325,92182,3
50289,325,92198,1
50290,325,92234,2
50291,325,92277,10
